shift_id,plant,shift_date,shift_type,orders_completed,orders_pending,notable_events
SFT-A-0727-D,Plant A - Greenville,2026-07-27,Day,0,2,"Quiet shift, routine PM rounds on lines 1-6, no breakdowns reported."
SFT-A-0727-N,Plant A - Greenville,2026-07-27,Night,0,2,"Night rounds normal, Pump01 line3 flagged elevated bearing temp during 0400 sensor check, logged for day shift follow-up."
SFT-A-0728-D,Plant A - Greenville,2026-07-28,Day,2,3,"Pump01 bearing replaced and returned to service (WO-2026-100201); Robot04 weld quality issue resolved with torch tip swap (WO-2026-100204). Conv02 line1 started tripping on overload late in shift, opened WO-2026-100202."
SFT-A-0728-N,Plant A - Greenville,2026-07-28,Night,0,3,"Conv02 line1 kept on manual bypass overnight per day shift instruction, no further trips. Gearbox03 line2 oil leak noticed during 2300 walkthrough, added to tomorrow's work list."
SFT-A-0729-D,Plant A - Greenville,2026-07-29,Day,3,3,"Conv02 alignment corrected (WO-2026-100202); Motor07 line5 bearing swap and rewind-shop teardown started (WO-2026-100205); duplicate work order WO-2026-100212 closed. Gearbox03 seal opened as WO-2026-100203, awaiting parts."
SFT-A-0729-N,Plant A - Greenville,2026-07-29,Night,0,3,"Motor07 kept on lockout awaiting parts confirmation, tag verified secure at 2310. Gearbox03 temporary oil top-off holding, absorbent pad monitored."
SFT-A-0730-D,Plant A - Greenville,2026-07-30,Day,1,3,"Compressor01 air/oil separator and inlet filter replaced after high discharge temp trips (WO-2026-100206). Gearbox03 still awaiting seal kit."
SFT-A-0730-N,Plant A - Greenville,2026-07-30,Night,0,3,"Gearbox03 checked, no new leakage beyond known drip, oil level acceptable. Uneventful otherwise."
SFT-A-0731-D,Plant A - Greenville,2026-07-31,Day,3,1,"Pump01 mechanical seal follow-up check clean (WO-2026-100211); Robot04 axis 3 servo connector fault fixed after e-stop (WO-2026-100214); Motor07 final vibration re-check confirms repair held (WO-2026-100215)."
SFT-A-0731-N,Plant A - Greenville,2026-07-31,Night,0,1,"Calm night, all lines running, only open item remains Gearbox03 awaiting seal part."
SFT-A-0801-D,Plant A - Greenville,2026-08-01,Day,2,0,"Gearbox03 seal kit arrived and installed, oil system flushed and refilled (WO-2026-100213); Compressor01 discharge check valve replaced after PM inspection finding (WO-2026-100216, flagged for restart follow-up)."
SFT-A-0801-N,Plant A - Greenville,2026-08-01,Night,0,0,"No open work orders outstanding at plant close; routine PM rounds only."
SFT-A-0802-D,Plant A - Greenville,2026-08-02,Day,1,0,"Pump01 coupling elastomer insert replaced after debris found on guard (WO-2026-100221)."
SFT-A-0802-N,Plant A - Greenville,2026-08-02,Night,0,0,"Quiet night, no new issues logged."
SFT-A-0803-D,Plant A - Greenville,2026-08-03,Day,3,0,"Conv02 photo-eye sensor replaced ending intermittent stoppages (WO-2026-100222); Motor07 rewound unit reinstalled and load-tested (WO-2026-100223); Compressor01 routine intake filter service (WO-2026-100224); Gearbox03 next-day dry-check confirmed no leaks (follow-up on WO-2026-100213)."
SFT-A-0803-N,Plant A - Greenville,2026-08-03,Night,0,0,"End of week wrap-up, all Plant A work orders closed, handover notes passed to weekend on-call technician."
SFT-B-0727-D,Plant B - Monterrey,2026-07-27,Day,1,0,"Press01 die cushion nitrogen seal replaced after repeated pressure top-ups (WO-2026-100207)."
SFT-B-0727-N,Plant B - Monterrey,2026-07-27,Night,0,0,"Uneventful night, all lines running."
SFT-B-0728-D,Plant B - Monterrey,2026-07-28,Day,1,0,"HVAC01 condenser fan capacitor replaced along with overdue filters (WO-2026-100210)."
SFT-B-0728-N,Plant B - Monterrey,2026-07-28,Night,0,0,"No new issues."
SFT-B-0729-D,Plant B - Monterrey,2026-07-29,Day,0,0,"Routine PM only, no breakdowns."
SFT-B-0729-N,Plant B - Monterrey,2026-07-29,Night,0,0,"Quiet night shift."
SFT-B-0730-D,Plant B - Monterrey,2026-07-30,Day,1,1,"Conv05 idler bearing and belt splice completed (WO-2026-100209); Chiller02 refrigerant low level identified, leak search opened as WO-2026-100208, in progress."
SFT-B-0730-N,Plant B - Monterrey,2026-07-30,Night,0,1,"Night tech continued Chiller02 leak search with electronic sniffer, confirmed leak location at liquid line braze joint for day shift to repair."
SFT-B-0731-D,Plant B - Monterrey,2026-07-31,Day,0,1,"Chiller02 braze repair scheduled for next available window pending parts staging, no other issues."
SFT-B-0731-N,Plant B - Monterrey,2026-07-31,Night,0,1,"Stable overnight, Chiller02 running on reduced charge without nuisance trips."
SFT-B-0801-D,Plant B - Monterrey,2026-08-01,Day,1,1,"Press01 clutch/brake friction disc replaced after slip/delayed-stop safety concern (WO-2026-100217)."
SFT-B-0801-N,Plant B - Monterrey,2026-08-01,Night,0,1,"No change overnight."
SFT-B-0802-D,Plant B - Monterrey,2026-08-02,Day,2,1,"Chiller02 leak brazed, pressure tested, and recharged (WO-2026-100218); HVAC01 belt set and sheave alignment corrected (WO-2026-100220). Conv05 gearmotor seized overnight prior shift, replacement part now on backorder (WO-2026-100219)."
SFT-B-0802-N,Plant B - Monterrey,2026-08-02,Night,0,1,"Conv05 running on backup short-route conveyor, throughput reduced but stable; awaiting gearmotor delivery."
SFT-B-0803-D,Plant B - Monterrey,2026-08-03,Day,1,2,"Chiller02 condenser coil cleaned during PM (WO-2026-100226); Press01 intermittent overload trip could not be reproduced, data logger installed for overnight capture (WO-2026-100225); Conv05 gearmotor still on backorder."
SFT-B-0803-N,Plant B - Monterrey,2026-08-03,Night,0,2,"Data logger running on Press01 drive overnight; Conv05 backup route holding; handover notes passed to weekend crew."
