technician_id,name,skill_cert,shift,available_dates,weekly_hours_capacity
TECH-1000,Technician A,Mechanical,Day (06:00-14:00),2026-08-04;2026-08-06;2026-08-07;2026-08-11;2026-08-12;2026-08-13;2026-08-14;2026-08-17,40
TECH-1001,Technician B,Electrical,Afternoon (14:00-22:00),2026-08-04;2026-08-05;2026-08-06;2026-08-07;2026-08-10;2026-08-11;2026-08-12;2026-08-13;2026-08-14,40
TECH-1002,Technician C,Instrumentation & Controls,Night (22:00-06:00),2026-08-04;2026-08-05;2026-08-06;2026-08-07;2026-08-10;2026-08-11;2026-08-12;2026-08-14;2026-08-17,40
TECH-1003,Technician D,Millwright,Weekend Rotation,2026-08-08;2026-08-09;2026-08-15,24
TECH-1004,Technician E,HVAC/Refrigeration,Day (06:00-14:00),2026-08-04;2026-08-06;2026-08-07;2026-08-10;2026-08-11;2026-08-12;2026-08-13;2026-08-14;2026-08-17,40
TECH-1005,Technician F,Hydraulics,Afternoon (14:00-22:00),2026-08-05;2026-08-06;2026-08-07;2026-08-10;2026-08-11;2026-08-12;2026-08-13;2026-08-17,40
TECH-1006,Technician G,Robotics/PLC,Night (22:00-06:00),2026-08-04;2026-08-05;2026-08-06;2026-08-10;2026-08-11;2026-08-12;2026-08-13;2026-08-14;2026-08-17,40
TECH-1007,Technician H,Welding & Fabrication,Weekend Rotation,2026-08-09;2026-08-15;2026-08-16,24
TECH-1008,Technician I,Rigging,Day (06:00-14:00),2026-08-04;2026-08-05;2026-08-06;2026-08-07;2026-08-10;2026-08-11;2026-08-12;2026-08-13,40
TECH-1009,Technician J,Lubrication & Reliability,Afternoon (14:00-22:00),2026-08-04;2026-08-06;2026-08-07;2026-08-10;2026-08-11;2026-08-12;2026-08-14;2026-08-17,40
TECH-1010,Technician K,Mechanical,Night (22:00-06:00),2026-08-04;2026-08-05;2026-08-07;2026-08-10;2026-08-11;2026-08-12;2026-08-13;2026-08-17,40
TECH-1011,Technician L,Electrical,Weekend Rotation,2026-08-08;2026-08-09;2026-08-16;2026-08-17,24
TECH-1012,Technician M,Instrumentation & Controls,Day (06:00-14:00),2026-08-05;2026-08-06;2026-08-07;2026-08-10;2026-08-11;2026-08-12;2026-08-13;2026-08-14,40
TECH-1013,Technician N,Millwright,Afternoon (14:00-22:00),2026-08-04;2026-08-05;2026-08-06;2026-08-07;2026-08-10;2026-08-11;2026-08-12;2026-08-13;2026-08-14;2026-08-17,40
TECH-1014,Technician O,HVAC/Refrigeration,Night (22:00-06:00),2026-08-04;2026-08-05;2026-08-06;2026-08-07;2026-08-11;2026-08-12;2026-08-13;2026-08-14;2026-08-17,40
TECH-1015,Technician P,Hydraulics,Weekend Rotation,2026-08-08;2026-08-09;2026-08-15;2026-08-16;2026-08-17,24
TECH-1016,Technician Q,Robotics/PLC,Day (06:00-14:00),2026-08-04;2026-08-05;2026-08-10;2026-08-11;2026-08-12;2026-08-13;2026-08-14;2026-08-17,40
TECH-1017,Technician R,Welding & Fabrication,Afternoon (14:00-22:00),2026-08-04;2026-08-05;2026-08-06;2026-08-07;2026-08-10;2026-08-11;2026-08-13;2026-08-14;2026-08-17,40
TECH-1018,Technician S,Rigging,Night (22:00-06:00),2026-08-04;2026-08-05;2026-08-06;2026-08-07;2026-08-10;2026-08-11;2026-08-13;2026-08-14;2026-08-17,40
TECH-1019,Technician T,Lubrication & Reliability,Weekend Rotation,2026-08-08;2026-08-09;2026-08-10;2026-08-16,24
TECH-1020,Technician U,Mechanical,Day (06:00-14:00),2026-08-04;2026-08-05;2026-08-07;2026-08-10;2026-08-11;2026-08-12;2026-08-13;2026-08-14;2026-08-17,40
TECH-1021,Technician V,Electrical,Afternoon (14:00-22:00),2026-08-04;2026-08-05;2026-08-06;2026-08-07;2026-08-11;2026-08-12;2026-08-13;2026-08-17,40
TECH-1022,Technician W,Instrumentation & Controls,Night (22:00-06:00),2026-08-04;2026-08-06;2026-08-07;2026-08-10;2026-08-11;2026-08-12;2026-08-14;2026-08-17,40
TECH-1023,Technician X,Millwright,Weekend Rotation,2026-08-08;2026-08-09;2026-08-13;2026-08-15;2026-08-16,24
TECH-1024,Technician Y,HVAC/Refrigeration,Day (06:00-14:00),2026-08-04;2026-08-05;2026-08-06;2026-08-07;2026-08-10;2026-08-11;2026-08-12;2026-08-13;2026-08-14;2026-08-17,40
TECH-1025,Technician Z,Hydraulics,Afternoon (14:00-22:00),2026-08-04;2026-08-05;2026-08-06;2026-08-07;2026-08-10;2026-08-11;2026-08-12;2026-08-13;2026-08-17,40
TECH-1026,Technician A1,Robotics/PLC,Night (22:00-06:00),2026-08-04;2026-08-06;2026-08-07;2026-08-10;2026-08-11;2026-08-12;2026-08-13;2026-08-14;2026-08-17,40
TECH-1027,Technician B1,Welding & Fabrication,Weekend Rotation,2026-08-05;2026-08-09;2026-08-14;2026-08-15;2026-08-16,24
