plan_id,equipment_id,planned_date,completed_date,status,variance_days
PM-20251,EQ-10041,2026-02-08,,Missed,
PM-20252,EQ-10042,2026-01-13,2026-01-12,Completed On Time,-1
PM-20253,EQ-10042,2026-02-02,2026-03-04,Rescheduled,30
PM-20254,EQ-10088,2025-08-30,2025-08-31,Completed On Time,1
PM-20255,EQ-10089,2026-04-06,2026-05-05,Rescheduled,29
PM-20256,EQ-10105,2026-04-01,2026-04-21,Skipped - Production Conflict,20
PM-20257,EQ-20014,2026-06-07,2026-06-06,Completed On Time,-1
PM-20258,EQ-20014,2026-05-04,,Missed,
PM-20259,EQ-20015,2026-01-07,2026-01-08,Completed On Time,1
PM-20260,EQ-20015,2026-02-08,2026-02-09,Completed On Time,1
PM-20261,EQ-20033,2025-12-05,2025-12-05,Completed On Time,0
PM-20262,EQ-20034,2026-05-11,2026-05-10,Completed On Time,-1
PM-20263,EQ-20034,2025-08-04,2025-08-05,Completed On Time,1
PM-20264,EQ-20051,2025-09-04,2025-09-19,Rescheduled,15
PM-20265,EQ-20052,2025-11-30,2025-11-30,Completed On Time,0
PM-20266,EQ-20052,2025-11-18,2025-12-09,Completed Late,21
PM-20267,EQ-30007,2026-03-31,2026-04-11,Rescheduled,11
PM-20268,EQ-30008,2026-03-09,2026-03-09,Completed On Time,0
PM-20269,EQ-30012,2025-08-28,2025-09-03,Completed Late,6
PM-20270,EQ-30012,2025-09-01,2025-09-01,Completed On Time,0
PM-20271,EQ-30013,2025-11-07,2025-11-07,Completed On Time,0
PM-20272,EQ-30020,2025-11-02,2025-11-01,Completed On Time,-1
PM-20273,EQ-30021,2026-05-09,2026-05-10,Completed On Time,1
PM-20274,EQ-40010,2025-11-30,2025-11-30,Completed On Time,0
PM-20275,EQ-40011,2026-02-22,2026-03-04,Rescheduled,10
PM-20276,EQ-40012,2026-02-16,2026-02-16,Completed On Time,0
PM-20277,EQ-40013,2026-05-12,2026-05-30,Completed Late,18
PM-20278,EQ-40025,2025-12-30,2025-12-29,Completed On Time,-1
PM-20279,EQ-40026,2026-01-08,2026-01-09,Completed On Time,1
PM-20280,EQ-40026,2026-04-02,2026-04-03,Completed On Time,1
PM-20281,EQ-50003,2026-04-18,2026-04-17,Completed On Time,-1
PM-20282,EQ-50004,2025-09-04,2025-09-14,Completed Late,10
PM-20283,EQ-50004,2026-02-23,2026-02-24,Completed On Time,1
PM-20284,EQ-50015,2026-06-01,2026-05-31,Completed On Time,-1
PM-20285,EQ-50015,2026-03-03,2026-03-24,Completed Late,21
PM-20286,EQ-50016,2025-11-13,2025-11-26,Completed Late,13
PM-20287,EQ-60001,2026-02-19,2026-02-20,Completed On Time,1
PM-20288,EQ-60002,2026-01-09,2026-01-23,Skipped - Production Conflict,14
PM-20289,EQ-60010,2026-06-15,2026-07-01,Skipped - Production Conflict,16
