material_id,description,criticality_class,min_stock,max_stock,lead_time_days,unit_cost_usd,uom,primary_plant
SP-BRG-6205-2RS,Ball Bearing 6205-2RS Sealed (Conveyor Idler),A,8,24,10,18.50,EA,PLANT-A
SP-BRG-6308-2RS,Ball Bearing 6308-2RS Sealed (Motor Drive End),A,6,18,14,42.75,EA,PLANT-A
SP-SEAL-NBR-45x65x8,Oil Seal NBR 45x65x8mm,B,10,30,7,6.20,EA,PLANT-B
SP-BELT-A-42,V-Belt Type A42,B,12,36,5,14.10,EA,PLANT-A
SP-FILT-HYD-10U,Hydraulic Return Filter Element 10 Micron,B,15,45,8,22.90,EA,PLANT-C
SP-FILT-AIR-STD,Air Intake Filter Standard Panel,C,20,60,5,9.40,EA,PLANT-A
SP-SENS-PROX-M12,Inductive Proximity Sensor M12 NO,A,6,20,12,58.00,EA,PLANT-B
SP-SENS-TEMP-PT100,PT100 Temperature Sensor 4-20mA,A,5,15,18,74.50,EA,PLANT-A
SP-MOTOR-3PH-5HP,3-Phase TEFC Motor 5HP 1750RPM,A,2,6,35,610.00,EA,PLANT-A
SP-MOTOR-3PH-10HP,3-Phase TEFC Motor 10HP 1750RPM,A,2,5,42,1180.00,EA,PLANT-C
SP-GASKET-FLNG-DN50,Flange Gasket DN50 Spiral Wound,C,25,75,6,3.85,EA,PLANT-B
SP-VALVE-BALL-2IN,Ball Valve 2in 316SS,B,8,24,15,96.00,EA,PLANT-A
SP-VALVE-SOLENOID-24V,Solenoid Valve 24VDC 1/2in NPT,A,6,18,12,138.50,EA,PLANT-C
SP-PUMP-CENTRIF-3KW,Centrifugal Pump 3kW Close-Coupled,A,2,6,40,2450.00,EA,PLANT-B
SP-CONTACTOR-40A,IEC Contactor 40A 3-Pole,B,8,24,10,87.30,EA,PLANT-A
SP-RELAY-24VDC,Control Relay 24VDC 8-Pin,B,15,45,6,11.75,EA,PLANT-C
SP-COUPLING-FLEX-25MM,Flexible Jaw Coupling 25mm Bore,B,6,18,14,64.20,EA,PLANT-A
SP-CHAIN-RS50,Roller Chain RS50 10ft Section,B,10,30,9,48.60,EA,PLANT-B
SP-SPROCKET-RS50-20T,Sprocket RS50 20-Tooth,C,8,24,11,32.40,EA,PLANT-B
SP-BRG-22212-CC,Spherical Roller Bearing 22212 CC,A,3,9,28,215.00,EA,PLANT-C
SP-VFD-15KW,Variable Frequency Drive 15kW 480V,A,2,6,45,1850.00,EA,PLANT-A
SP-FUSE-32A,Cartridge Fuse 32A 600V,C,30,90,4,4.10,EA,PLANT-A
SP-GEARBOX-HELICAL-2-1,Helical Gearbox Ratio 2:1 5HP Rated,A,1,4,50,3200.00,EA,PLANT-C
SP-LUBE-GREASE-EP2,EP2 Lithium Grease Cartridge 400g,C,40,120,5,5.60,EA,PLANT-B
SP-HOSE-HYD-1IN,Hydraulic Hose 1in 2-Wire Braid (2m),B,10,30,8,39.90,EA,PLANT-A
SP-PLC-CPU-1200,PLC CPU Module 1200 Series,A,2,6,30,890.00,EA,PLANT-A
SP-ENCODER-INC-1024,Incremental Encoder 1024PPR 10-30VDC,A,4,12,20,165.00,EA,PLANT-B
SP-FILT-OIL-SPIN,Spin-On Full-Flow Oil Filter,C,20,60,6,12.30,EA,PLANT-C
SP-BEARING-PILLOW-UCP205,Pillow Block Bearing UCP205 25mm,B,8,24,10,28.75,EA,PLANT-A
SP-LIMIT-SWITCH-ROLLER,Limit Switch Roller Lever Actuator,B,10,30,9,41.20,EA,PLANT-C
