work_order_ref,equipment_id,technician_id,note_text,captured_at
WO-2026-100201,10004521,TECH-1001,"Pump01 on line 3 running hot again, temp gun showing 92C on bearing housing, vibe reading higher than last week. Pulled the cover and outer race has some discoloration and pitting. Gonna need a bearing swap, pulling 6205-2RS from stores. Isolated and tagged out, swapped over to spare pump P01B so line keeps running.",2026-07-28 06:42
WO-2026-100201,10004521,TECH-1001,"Bearing swap done on Pump01. Old bearing had pitting on the outer race, matches that water ingress we had back in June. Repacked with NLGI-2 grease per PM-114, housing bolts torqued to 45 Nm. Ran 20 min under load, vibration back down to 1.8 mm/s and temp holding steady at 61C. Switched back off the spare. Ready to close out.",2026-07-28 11:15
WO-2026-100202,10004532,TECH-1002,"Conv02 on line 1 keeps tripping overload every couple hours. Belt tension looks fine. Motor amps spiking to 14A when it trips vs normal 9A run current. Coupling looks slightly offset in the photos I took, think it's a misalignment issue not the motor. Put line on manual bypass rest of shift, need alignment tooling tomorrow.",2026-07-28 14:20
WO-2026-100202,10004532,TECH-1002,"Realigned the gearmotor coupling on Conv02 with laser alignment tool, was off by almost 0.6mm at the shim. Added 0.5mm shims on the inboard feet, retorqued mounting bolts. Ran line for 45 min continuous no trips, amps steady at 9.2A. Also swapped in the alignment kit parts we ordered. Line back to normal, closing this one out.",2026-07-29 09:05
WO-2026-100203,10004541,TECH-1001,"Gearbox03 line2 leaking oil from the output shaft area, dripping onto the floor under the machine, put absorbent pad down. Looks like the shaft seal has failed, oil level was low when I checked with dipstick. Ordered the GB-3311-SEAL part, we don't have one in stores right now so this one's waiting on parts. Topped off gear oil temporarily to keep it running until seal comes in.",2026-07-29 07:55
WO-2026-100204,10004548,TECH-1003,"Robot04 weld quality dropping on line 4, seeing spatter buildup and inconsistent bead. Torch tip was worn down more than it should be for the hours on it. Swapped torch tip, contact tip, and gas nozzle. Ran 10 test welds on scrap coupon, bead looks clean and consistent now. Checked shielding gas flow meter, reading correct at 20 CFH.",2026-07-28 10:30
WO-2026-100205,10004555,TECH-1004,"Motor07 on line5 making a grinding noise on startup, got worse over the shift. IR temp on the bearing end is 78C, higher than normal. Vibration reading elevated on the drive end. Recommend bearing replacement, don't think this is safe to run through the weekend without it. Flagging as follow-up needed since we're waiting on the bearing kit to confirm fit.",2026-07-29 05:15
WO-2026-100205,10004555,TECH-1004,"Replaced both bearings on Motor07 drive end and non-drive end, 6309-2RS kit came in. Also had to replace the terminal box gasket, old one was cracked and letting moisture in which probably contributed to the bearing wear. Meggered the windings after reassembly, insulation resistance reads good at 42 Mohm. Ran motor 30 min no load then 20 min under load, noise is gone, vibration back to baseline.",2026-07-29 13:40
WO-2026-100206,10004560,TECH-1005,"Compressor01 tripping on high discharge temp alarm. Checked the air/oil separator element, looks saturated and dirty, probably overdue. Also inlet filter was clogged pretty bad. Replaced both, reset the alarm, ran the unit up to full load and discharge temp is back in normal range around 88C. Logged the runtime hours for the PM interval reset.",2026-07-30 08:10
WO-2026-100207,20003301,TECH-1006,"Press01 die cushion losing nitrogen pressure during the shift, had to top up twice which isn't normal. Found a small leak at the cylinder seal, could see bubbles when I sprayed soap solution on the fitting. Replaced the seal kit on the nitrogen cylinder, re-pressurized to spec 180 bar, held steady for the rest of the test cycles. No more pressure drop.",2026-07-27 06:20
WO-2026-100208,20003312,TECH-1007,"Chiller02 refrigerant level looks low, sight glass showing bubbles which usually means we're short on charge. Used the leak detector dye kit to try to find where it's escaping, think I see a small stain near the liquid line braze joint but need more time to confirm before I do the repair. Leaving this in progress, need to schedule proper leak search with the electronic sniffer next shift.",2026-07-30 15:45
WO-2026-100209,20003318,TECH-1008,"Conv05 on line2 belt tracking off to one side, rubbing on the frame and making noise. Found the idler bearing on the tail end is worn out, has play when I push on it by hand. Replaced idler bearing and did a splice repair on the belt where it was starting to fray. Adjusted tracking, ran empty then loaded, tracking straight now.",2026-07-30 11:00
WO-2026-100210,20003325,TECH-1007,"HVAC01 rooftop unit not cooling properly in the break room area, condenser fan motor sounded like it was struggling to start. Capacitor tested bad on the meter, way under rated microfarad value. Replaced capacitor and both air filters while I was up there since they were overdue anyway. Fan spins up normal now, unit cycling properly.",2026-07-28 09:00
WO-2026-100211,10004521,TECH-1009,"Follow-up check on Pump01 mechanical seal after the bearing job last week, wanted to make sure there's no weeping since we had it apart. Inspected seal faces, no visible leakage or scoring, everything looks dry and normal. No parts needed, just a visual and dye check. Good to close.",2026-07-31 02:15
WO-2026-100212,10004532,TECH-1002,"This work order got created twice by mistake for the same Conv02 alignment issue, the other one WO-2026-100202 already covers this. Closing as duplicate, no additional work done here.",2026-07-29 09:10
WO-2026-100213,10004541,TECH-1001,"Seal kit for Gearbox03 finally came in from stores. Replaced the output shaft seal, drained old gear oil which had some water contamination visible, cleaned the sump, refilled with 4L fresh ISO 320 gear oil. Ran under load for 30 min, no leaking at the shaft now, oil level holding steady.",2026-08-01 07:30
WO-2026-100214,10004548,TECH-1003,"Robot04 threw an axis 3 servo fault mid-shift, e-stopped the cell per safety procedure. Found the servo cable connector at the axis 3 junction had a loose/corroded pin, probably from coolant mist exposure over time. Replaced connector, applied dielectric grease, reset the drive fault. Ran the calibration routine and 5 test cycles, no faults recurring.",2026-07-31 12:50
WO-2026-100215,10004555,TECH-1004,"Went back to check Motor07 vibration one more time after last week's bearing job just to be thorough before we call it fully closed. Reading is steady at 1.6 mm/s which is right at baseline for this motor. No noise, no heat. Confirming the repair held.",2026-07-31 16:05
