material_id,plant,consumed_qty,consumed_date,work_order_ref
SP-BRG-6205-2RS,PLANT-A,3,2025-01-14,WO-2025-01042
SP-BRG-6205-2RS,PLANT-A,4,2025-04-22,WO-2025-01187
SP-BRG-6205-2RS,PLANT-B,2,2025-08-05,WO-2025-01389
SP-BRG-6205-2RS,PLANT-A,5,2025-11-18,WO-2025-01512
SP-BRG-6205-2RS,PLANT-A,3,2026-03-02,WO-2026-00098
SP-BRG-6205-2RS,PLANT-A,4,2026-06-20,WO-2026-00251
SP-BRG-6308-2RS,PLANT-A,2,2025-02-10,WO-2025-01071
SP-BRG-6308-2RS,PLANT-A,2,2025-06-15,WO-2025-01254
SP-BRG-6308-2RS,PLANT-A,3,2025-10-28,WO-2025-01467
SP-BRG-6308-2RS,PLANT-A,2,2026-02-14,WO-2026-00061
SP-BRG-6308-2RS,PLANT-A,3,2026-06-05,WO-2026-00219
SP-SEAL-NBR-45x65x8,PLANT-B,4,2025-01-20,WO-2025-02011
SP-SEAL-NBR-45x65x8,PLANT-B,6,2025-05-09,WO-2025-02143
SP-SEAL-NBR-45x65x8,PLANT-B,5,2025-09-17,WO-2025-02298
SP-SEAL-NBR-45x65x8,PLANT-B,6,2026-01-25,WO-2026-00512
SP-SEAL-NBR-45x65x8,PLANT-B,4,2026-05-12,WO-2026-00688
SP-BELT-A-42,PLANT-A,6,2025-03-05,WO-2025-03014
SP-BELT-A-42,PLANT-A,8,2025-07-19,WO-2025-03176
SP-BELT-A-42,PLANT-A,5,2025-12-02,WO-2025-03390
SP-BELT-A-42,PLANT-A,7,2026-04-14,WO-2026-01005
SP-BELT-A-42,PLANT-A,9,2026-07-22,WO-2026-01188
SP-FILT-HYD-10U,PLANT-C,8,2025-01-30,WO-2025-04022
SP-FILT-HYD-10U,PLANT-C,9,2025-04-30,WO-2025-04198
SP-FILT-HYD-10U,PLANT-C,8,2025-07-30,WO-2025-04365
SP-FILT-HYD-10U,PLANT-C,10,2025-10-30,WO-2025-04521
SP-FILT-HYD-10U,PLANT-C,9,2026-01-30,WO-2026-01300
