line,equipment_id,reason_code,start_time,end_time,duration_minutes
LINE1,20003310,MECH_FAILURE,2026-02-03T06:45:00Z,2026-02-03T07:57:00Z,72
LINE4,30005544,SPINDLE_FAULT,2026-02-11T14:20:00Z,2026-02-11T14:38:00Z,18
LINE3,10004522,BEARING_FAILURE,2026-02-15T09:05:00Z,2026-02-15T12:53:00Z,228
LINE2,40007788,SERVO_FAULT,2026-02-22T02:10:00Z,2026-02-22T04:16:00Z,126
UTILITIES,50009012,COMPRESSOR_TRIP,2026-03-04T11:30:00Z,2026-03-04T13:00:00Z,90
LINE2,20003311,JAM,2026-03-11T22:40:00Z,2026-03-11T23:04:00Z,24
LINE3,10004521,SEAL_LEAK,2026-03-12T05:55:00Z,2026-03-12T08:31:00Z,156
LINE4,30005545,TOOL_CHANGE,2026-03-18T16:15:00Z,2026-03-18T18:09:00Z,114
LINE1,20003310,CHANGEOVER,2026-03-20T06:00:00Z,2026-03-20T06:45:00Z,45
LINE3,10004522,RATE_REDUCTION,2026-03-28T21:00:00Z,2026-03-29T03:20:00Z,380
LINE3,10004522,BEARING_FAILURE,2026-03-29T03:20:00Z,2026-03-29T07:32:00Z,252
LINE2,40007788,JAM,2026-04-06T13:00:00Z,2026-04-06T13:30:00Z,30
LINE1,20003310,MECH_FAILURE,2026-04-14T08:50:00Z,2026-04-14T10:08:00Z,78
UTILITIES,50009012,SENSOR_FAULT,2026-04-21T19:05:00Z,2026-04-21T19:17:00Z,12
LINE4,30005544,COOLANT_FAULT,2026-04-30T10:40:00Z,2026-04-30T13:04:00Z,144
LINE4,30005545,CHANGEOVER,2026-05-02T14:00:00Z,2026-05-02T14:35:00Z,35
LINE3,10004521,RATE_REDUCTION,2026-05-06T22:15:00Z,2026-05-07T01:15:00Z,180
LINE3,10004521,VIBRATION_TRIP,2026-05-07T01:15:00Z,2026-05-07T04:21:00Z,186
LINE2,40007788,QUALITY_HOLD,2026-05-19T15:30:00Z,2026-05-19T17:12:00Z,102
LINE2,20003311,BELT_FAILURE,2026-05-23T09:10:00Z,2026-05-23T11:10:00Z,120
LINE4,30005545,CALIBRATION,2026-05-30T12:25:00Z,2026-05-30T13:01:00Z,36
UTILITIES,50009012,BELT_FAILURE,2026-06-02T04:50:00Z,2026-06-02T05:56:00Z,66
LINE3,10004522,RATE_REDUCTION,2026-06-13T18:40:00Z,2026-06-13T22:05:00Z,205
LINE3,10004522,BEARING_FAILURE,2026-06-13T22:05:00Z,2026-06-14T01:41:00Z,216
LINE2,40007788,CHANGEOVER,2026-06-18T09:00:00Z,2026-06-18T09:20:00Z,20
LINE1,20003310,SENSOR_FAULT,2026-06-27T17:40:00Z,2026-06-27T17:58:00Z,18
LINE4,30005544,MECH_FAILURE,2026-06-30T02:15:00Z,2026-06-30T05:03:00Z,168
LINE2,40007788,PROGRAM_FAULT,2026-07-05T10:00:00Z,2026-07-05T10:24:00Z,24
LINE3,10004521,SEAL_LEAK,2026-07-16T06:30:00Z,2026-07-16T07:54:00Z,84
LINE2,20003311,MECH_FAILURE,2026-07-21T13:55:00Z,2026-07-21T15:43:00Z,108
UTILITIES,50009012,SENSOR_FAULT,2026-07-29T20:30:00Z,2026-07-29T20:48:00Z,18
LINE4,30005545,SERVO_FAULT,2026-08-01T09:15:00Z,2026-08-01T11:27:00Z,132
LINE2,40007788,CALIBRATION,2026-08-02T16:45:00Z,2026-08-02T17:15:00Z,30
LINE3,10004521,RATE_REDUCTION,2026-08-03T20:15:00Z,2026-08-04T02:30:00Z,375
LINE3,10004521,DEGRADED_FLOW,2026-08-04T02:30:00Z,2026-08-04T03:12:00Z,42
LINE3,10004521,BEARING_FAILURE,2026-08-04T03:12:00Z,2026-08-04T07:45:00Z,273
LINE4,30005544,SENSOR_FAULT,2026-08-04T11:20:00Z,2026-08-04T11:38:00Z,18
LINE1,20003310,SENSOR_FAULT,2026-08-04T14:05:00Z,2026-08-04T14:29:00Z,24
