vendor_id,vendor_name,material_id,price,moq,lead_time_days,otif_rate
VEND-1001,Bearing & Power Transmission Supply Co,SP-BRG-6205-2RS,17.90,10,9,0.96
VEND-1009,Specialty Bearings Direct,SP-BRG-6205-2RS,19.75,1,6,0.98
VEND-1004,General MRO Distributor,SP-BRG-6205-2RS,18.60,5,12,0.89
VEND-1001,Bearing & Power Transmission Supply Co,SP-BRG-6308-2RS,41.20,5,13,0.96
VEND-1009,Specialty Bearings Direct,SP-BRG-6308-2RS,44.90,1,8,0.98
VEND-1004,General MRO Distributor,SP-SEAL-NBR-45x65x8,5.95,10,6,0.91
VEND-1006,Fasteners & Fluid Power Inc,SP-SEAL-NBR-45x65x8,6.40,25,5,0.94
VEND-1004,General MRO Distributor,SP-BELT-A-42,13.75,5,4,0.91
VEND-1010,Global Industrial Parts,SP-BELT-A-42,14.50,1,7,0.93
VEND-1003,Industrial Hydraulics & Filtration,SP-FILT-HYD-10U,22.10,4,7,0.95
VEND-1004,General MRO Distributor,SP-FILT-HYD-10U,23.80,10,10,0.91
VEND-1004,General MRO Distributor,SP-FILT-AIR-STD,8.90,10,4,0.91
VEND-1010,Global Industrial Parts,SP-FILT-AIR-STD,9.60,1,6,0.93
VEND-1002,Motion & Automation Components,SP-SENS-PROX-M12,56.50,2,10,0.97
VEND-1007,Electrical Controls Distributor,SP-SENS-PROX-M12,59.90,1,14,0.90
VEND-1002,Motion & Automation Components,SP-SENS-TEMP-PT100,72.00,2,16,0.97
VEND-1007,Electrical Controls Distributor,SP-SENS-TEMP-PT100,76.25,1,19,0.90
VEND-1005,OEM Motors & Drives,SP-MOTOR-3PH-5HP,598.00,1,32,0.94
VEND-1008,Regional MRO Supplier,SP-MOTOR-3PH-5HP,632.50,1,38,0.86
VEND-1005,OEM Motors & Drives,SP-MOTOR-3PH-10HP,1155.00,1,39,0.94
VEND-1008,Regional MRO Supplier,SP-MOTOR-3PH-10HP,1225.00,1,46,0.86
VEND-1006,Fasteners & Fluid Power Inc,SP-GASKET-FLNG-DN50,3.60,50,5,0.94
VEND-1004,General MRO Distributor,SP-GASKET-FLNG-DN50,4.05,25,7,0.91
VEND-1003,Industrial Hydraulics & Filtration,SP-VALVE-BALL-2IN,92.50,2,13,0.95
VEND-1008,Regional MRO Supplier,SP-VALVE-BALL-2IN,99.00,1,17,0.86
VEND-1002,Motion & Automation Components,SP-VALVE-SOLENOID-24V,132.00,1,11,0.97
VEND-1007,Electrical Controls Distributor,SP-VALVE-SOLENOID-24V,141.75,1,14,0.90
VEND-1003,Industrial Hydraulics & Filtration,SP-PUMP-CENTRIF-3KW,2380.00,1,37,0.95
